[2026-08-31T18:45:21.196687] Frecuencia: 396.0000 MHz (396000000 Hz) | Canal ID: 1280 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:21.197103] Frecuencia: 392.9125 MHz (392912500 Hz) | Canal ID: 1033 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:45:22.604326] Frecuencia: 392.9375 MHz (392937500 Hz) | Canal ID: 1035 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:22.604476] Frecuencia: 397.6500 MHz (397650000 Hz) | Canal ID: 1412 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:22.604623] Frecuencia: 392.8500 MHz (392850000 Hz) | Canal ID: 1028 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:22.605554] Frecuencia: 391.0375 MHz (391037500 Hz) | Canal ID: 883 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:23.187617] Frecuencia: 395.0500 MHz (395050000 Hz) | Canal ID: 1204 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:23.188018] Frecuencia: 392.8250 MHz (392825000 Hz) | Canal ID: 1026 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:23.188205] Frecuencia: 392.7000 MHz (392700000 Hz) | Canal ID: 1016 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:23.826785] Frecuencia: 394.9125 MHz (394912500 Hz) | Canal ID: 1193 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:27.791159] Frecuencia: 394.9250 MHz (394925000 Hz) | Canal ID: 1194 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:31.755906] Frecuencia: 394.9375 MHz (394937500 Hz) | Canal ID: 1195 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:35.665457] Frecuencia: 394.9500 MHz (394950000 Hz) | Canal ID: 1196 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:39.644585] Frecuencia: 394.9625 MHz (394962500 Hz) | Canal ID: 1197 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:43.597526] Frecuencia: 394.9750 MHz (394975000 Hz) | Canal ID: 1198 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:47.768056] Frecuencia: 394.9875 MHz (394987500 Hz) | Canal ID: 1199 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:51.721907] Frecuencia: 395.0000 MHz (395000000 Hz) | Canal ID: 1200 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:55.697371] Frecuencia: 395.0125 MHz (395012500 Hz) | Canal ID: 1201 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:45:59.789798] Frecuencia: 395.0250 MHz (395025000 Hz) | Canal ID: 1202 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:03.820055] Frecuencia: 395.0375 MHz (395037500 Hz) | Canal ID: 1203 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:11.695070] Frecuencia: 395.0625 MHz (395062500 Hz) | Canal ID: 1205 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:15.615988] Frecuencia: 395.0750 MHz (395075000 Hz) | Canal ID: 1206 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:16.363978] Frecuencia: 396.2125 MHz (396212500 Hz) | Canal ID: 1297 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:16.364122] Frecuencia: 393.3375 MHz (393337500 Hz) | Canal ID: 1067 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:16.364435] Frecuencia: 397.2500 MHz (397250000 Hz) | Canal ID: 1380 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:16.364566] Frecuencia: 397.6750 MHz (397675000 Hz) | Canal ID: 1414 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:16.368340] Frecuencia: 398.2125 MHz (398212500 Hz) | Canal ID: 1457 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:46:16.368641] Frecuencia: 390.4375 MHz (390437500 Hz) | Canal ID: 835 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:46:17.901878] Frecuencia: 393.2875 MHz (393287500 Hz) | Canal ID: 1063 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:46:17.902222] Frecuencia: 393.8750 MHz (393875000 Hz) | Canal ID: 1110 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:46:19.568070] Frecuencia: 395.0875 MHz (395087500 Hz) | Canal ID: 1207 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:23.786666] Frecuencia: 395.1000 MHz (395100000 Hz) | Canal ID: 1208 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:27.693632] Frecuencia: 395.1125 MHz (395112500 Hz) | Canal ID: 1209 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:31.658592] Frecuencia: 395.1250 MHz (395125000 Hz) | Canal ID: 1210 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:35.625059] Frecuencia: 395.1375 MHz (395137500 Hz) | Canal ID: 1211 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:39.594589] Frecuencia: 395.1500 MHz (395150000 Hz) | Canal ID: 1212 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:43.563073] Frecuencia: 395.1625 MHz (395162500 Hz) | Canal ID: 1213 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:47.788182] Frecuencia: 395.1750 MHz (395175000 Hz) | Canal ID: 1214 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:51.707807] Frecuencia: 395.1875 MHz (395187500 Hz) | Canal ID: 1215 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:55.663520] Frecuencia: 395.2000 MHz (395200000 Hz) | Canal ID: 1216 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:46:59.568654] Frecuencia: 395.2125 MHz (395212500 Hz) | Canal ID: 1217 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:03.787950] Frecuencia: 395.2250 MHz (395225000 Hz) | Canal ID: 1218 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:07.565399] Frecuencia: 395.2375 MHz (395237500 Hz) | Canal ID: 1219 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:09.673009] Frecuencia: 392.9000 MHz (392900000 Hz) | Canal ID: 1032 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:47:09.673112] Frecuencia: 393.0000 MHz (393000000 Hz) | Canal ID: 1040 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:47:09.673215] Frecuencia: 392.7875 MHz (392787500 Hz) | Canal ID: 1023 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:47:11.598092] Frecuencia: 395.2500 MHz (395250000 Hz) | Canal ID: 1220 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:15.562860] Frecuencia: 395.2625 MHz (395262500 Hz) | Canal ID: 1221 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:19.787906] Frecuencia: 395.2750 MHz (395275000 Hz) | Canal ID: 1222 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:23.756374] Frecuencia: 395.2875 MHz (395287500 Hz) | Canal ID: 1223 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:27.786388] Frecuencia: 395.3000 MHz (395300000 Hz) | Canal ID: 1224 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:29.714270] Frecuencia: 396.0125 MHz (396012500 Hz) | Canal ID: 1281 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:31.563014] Frecuencia: 395.3125 MHz (395312500 Hz) | Canal ID: 1225 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:35.596166] Frecuencia: 395.3250 MHz (395325000 Hz) | Canal ID: 1226 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:39.755447] Frecuencia: 395.3375 MHz (395337500 Hz) | Canal ID: 1227 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:43.724580] Frecuencia: 395.3500 MHz (395350000 Hz) | Canal ID: 1228 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:47.697546] Frecuencia: 395.3625 MHz (395362500 Hz) | Canal ID: 1229 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:51.601911] Frecuencia: 395.3750 MHz (395375000 Hz) | Canal ID: 1230 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:55.760014] Frecuencia: 395.3875 MHz (395387500 Hz) | Canal ID: 1231 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:47:59.722605] Frecuencia: 395.4000 MHz (395400000 Hz) | Canal ID: 1232 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:03.629853] Frecuencia: 395.4125 MHz (395412500 Hz) | Canal ID: 1233 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:04.014105] Frecuencia: 396.0250 MHz (396025000 Hz) | Canal ID: 1282 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:48:07.537103] Frecuencia: 395.4250 MHz (395425000 Hz) | Canal ID: 1234 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:11.756319] Frecuencia: 395.4375 MHz (395437500 Hz) | Canal ID: 1235 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:15.666371] Frecuencia: 395.4500 MHz (395450000 Hz) | Canal ID: 1236 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:19.569992] Frecuencia: 395.4625 MHz (395462500 Hz) | Canal ID: 1237 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:23.794473] Frecuencia: 395.4750 MHz (395475000 Hz) | Canal ID: 1238 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:25.522959] Frecuencia: 393.6375 MHz (393637500 Hz) | Canal ID: 1091 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:48:27.633517] Frecuencia: 395.4875 MHz (395487500 Hz) | Canal ID: 1239 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:31.788687] Frecuencia: 395.5000 MHz (395500000 Hz) | Canal ID: 1240 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:35.691859] Frecuencia: 395.5125 MHz (395512500 Hz) | Canal ID: 1241 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:39.602538] Frecuencia: 395.5250 MHz (395525000 Hz) | Canal ID: 1242 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:43.569310] Frecuencia: 395.5375 MHz (395537500 Hz) | Canal ID: 1243 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:47.794610] Frecuencia: 395.5500 MHz (395550000 Hz) | Canal ID: 1244 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:50.349131] Frecuencia: 396.8375 MHz (396837500 Hz) | Canal ID: 1347 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:48:50.484789] Frecuencia: 391.1625 MHz (391162500 Hz) | Canal ID: 893 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:51.691180] Frecuencia: 395.5625 MHz (395562500 Hz) | Canal ID: 1245 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:55.723764] Frecuencia: 395.5750 MHz (395575000 Hz) | Canal ID: 1246 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:48:59.626277] Frecuencia: 395.5875 MHz (395587500 Hz) | Canal ID: 1247 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:02.897385] Frecuencia: 394.3750 MHz (394375000 Hz) | Canal ID: 1150 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:03.788075] Frecuencia: 395.6000 MHz (395600000 Hz) | Canal ID: 1248 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:07.759438] Frecuencia: 395.6125 MHz (395612500 Hz) | Canal ID: 1249 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:11.792660] Frecuencia: 395.6250 MHz (395625000 Hz) | Canal ID: 1250 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:15.757567] Frecuencia: 395.6375 MHz (395637500 Hz) | Canal ID: 1251 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:19.722606] Frecuencia: 395.6500 MHz (395650000 Hz) | Canal ID: 1252 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:23.629959] Frecuencia: 395.6625 MHz (395662500 Hz) | Canal ID: 1253 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:49:27.538166] Frecuencia: 395.6750 MHz (395675000 Hz) | Canal ID: 1254 | Detectada en: 393.6500 MHz | Celda SCR: 70
